Address,Name Tag,Label
0x13c2263e534bd27149d96b8cb9961ea1beb560ef,Enzyme Finance:  Idle Price Feed,Enzyme Finance
0x0bad0886c5976072549687d5ffcd26803c5ba167,Enzyme Finance: Aave Integration Adapter,Enzyme Finance
0x4e49a272dc42e26c8772de366aaa93d1ac816794,Enzyme Finance: Aave Price Feed,Enzyme Finance
0xa2a031b137452986b0e8fa32c9430d29b9b0494f,Enzyme Finance: Adapter Blacklist,Enzyme Finance
0x306f571110c5441a8481d3cd7e8b16a7e2e967e3,Enzyme Finance: Adapter Whitelist,Enzyme Finance
0x2e45f9b3fd5871ccaf4eb415dfccbdd126f57c4f,Enzyme Finance: Aggregated Derivative Price Feed,Enzyme Finance
0x63765ae5df9bb8af9d8bc976e595b79907cf341c,Enzyme Finance: AlphaHomora V1 Adapter,Enzyme Finance
0x1a8b4f6d469ee775d5982c4d4aab46677c2c92d4,Enzyme Finance: AlphaHomora V1 Price Feed,Enzyme Finance
0xdc1e40174ad831e505e8191881a66e90c3681e33,Enzyme Finance: Asset Blacklist,Enzyme Finance
0xa3b7b872407452e38dffaca8da2db3ed6d756ad1,Enzyme Finance: Asset Whitelist,Enzyme Finance
0xbc91dcc90ccdd0b51e3c623528cb886358c60105,Enzyme Finance: Buy Shares Caller Whitelist,Enzyme Finance
0x1fad8faf11e027f8630f394599830dbeb97004ee,Enzyme Finance: Chainlink Price Feed,Enzyme Finance
0xb7bfd3582582a82ef2a2f0df0adf705f35a07d4b,Enzyme Finance: Compound Adapter,Enzyme Finance
0x6d7f71cc3109d4132ad6124d84e72e353b979880,Enzyme Finance: Compound Price Feed,Enzyme Finance
0x1a7cbedf13e25818dc377d2b1277e03e5d496300,Enzyme Finance: ComptrollerLib,Enzyme Finance
0x1990d8bc382d38fa21ee3b570e9d1e6272152165,Enzyme Finance: Curve Exchange Adapter,Enzyme Finance
0x78ba80c8517a4f3146fd76a3642fa57b77f331eb,Enzyme Finance: Curve Liquidity Aave Adapter,Enzyme Finance
0xee91e3bb4752f358ddaac6ab825536698b239546,Enzyme Finance: Curve Liquidity Seth Adapter,Enzyme Finance
0x6367bb496390ddf0ef508db2992f53dbf376b1f4,Enzyme Finance: Curve Liquidity Steth Adapter,Enzyme Finance
0xc106f1b01017c854a9cd2d88db733408236dd809,Enzyme Finance: Curve Price Feed,Enzyme Finance
0x0d580ae50b58fe08514deab4e38c0dfdb0d30adc,Enzyme Finance: Deployer,Enzyme Finance
0xc3dc853dd716bd5754f421ef94fdcbac3902ab32,Enzyme Finance: Dispatcher,Enzyme Finance
0x27f74b89b29508091014487253d8d9b88aa0264a,Enzyme Finance: Entrance Rate Burn Fee,Enzyme Finance
0x30a398eb63b62bf2865f90e37752c8300ef22f05,Enzyme Finance: Entrance Rate Direct Fee,Enzyme Finance
0x5d0a363e9a17fb839e2843ffa93c808cdafccb67,Enzyme Finance: Fee Manger,Enzyme Finance
0xbc9a63cad5a825bd5854abca4f3d42d6acf9bffa,Enzyme Finance: Fund Actions Wrapper,Enzyme Finance
0x7e6d3b1161df9c9c7527f68d651b297d2fdb820b,Enzyme Finance: Fund Deployer,Enzyme Finance
0x08d4225f0995d770c4c8ea85380602b3499164a9,Enzyme Finance: Guaranteed Redemption,Enzyme Finance
0x649b6cc835c8fe3d3b94b6a9c155f791bf500dfe,Enzyme Finance: Idle Adapter,Enzyme Finance
0x965ca477106476b4600562a2ebe13536581883a6,Enzyme Finance: Integration Manager,Enzyme Finance
0x11d8d414724281bd702838ba16c8f15f7c473e9a,Enzyme Finance: Lido Steth Price Feed,Enzyme Finance
0x45f1b268cc6412b454dae20f8971fc4a36af0d29,Enzyme Finance: Management Fee,Enzyme Finance
0xdee63b253432a443a09bf8461f20256d184319de,Enzyme Finance: Max Concentration,Enzyme Finance
0x016a7287f0fdbdce5f903334f574b2238be3fa25,Enzyme Finance: Min Max Investment,Enzyme Finance
0xec67005c4e498ec7f55e092bd1d35cbc47c91892,Enzyme Finance: MLN Token,Enzyme Finance
0x8ea6ca02274e1b05b70c11058213adc667258c3d,Enzyme Finance: ParaSwap V4 Adapter,Enzyme Finance
0x3c3f9143a15042b69eb314cac211688a4e71a087,Enzyme Finance: Performance Fee,Enzyme Finance
0x0bd9f0465d21d4c300c7b8d781a013bdc87a31e8,Enzyme Finance: Policy Manager,Enzyme Finance
0xd3c515ead7bcc7451cd920e066c4a1849b827dfd,Enzyme Finance: Stakehound Eth Price Feed,Enzyme Finance
0x07698c3fa26a62ec6320872bf2950ba160a2dd7c,Enzyme Finance: Synthetix Adapter,Enzyme Finance
0x2e8b6455cb06463a523d3318f2cdc6a55ed45118,Enzyme Finance: Tracked Assets Adapter,Enzyme Finance
0x8481150a0f36c98ee859e6c7b46d61fdd836768f,Enzyme Finance: Uniswap V2 Adapter,Enzyme Finance
0x37ffb1842ef012d83a6ffdc92a6353044ae0e3e8,Enzyme Finance: Uniswap V2 Pool Price Feed,Enzyme Finance
0x10a5624840ac07287f756777df1dec34d2c2d654,Enzyme Finance: Value Interpreter,Enzyme Finance
0x1b3694907ed7459c7b0116e7c6a4b7788288577f,Enzyme Finance: Vault Lib,Enzyme Finance
0x76b548553d4e729c81e8ae8ab826795bd88ba9e7,Enzyme Finance: Wdgld Price Feed,Enzyme Finance
0x2c7cf699e9e2bf78020ad8a6b4faa28ee6722b7b,Melon Fund: Authority,Enzyme Finance
0x3875151e877cb7c048d9b8f5045debf46babe02b,Melon Fund: Canonical Price Feed,Enzyme Finance
0x9c76c260d4e72b87b398635313d3fab11e83b7b3,Melon Fund: Compliance,Enzyme Finance
0x630f5e265112db10d1e7820e26718172a12bd084,Melon Fund: Governance,Enzyme Finance
0x752e85ae6297b17f42c1619008ad8c2271f1c30f,Melon Fund: Matching Market Adapter,Enzyme Finance
0xb4daca5ea0de976da3304ba86e806ecb293d49bf,Melon Fund: Olympiad,Enzyme Finance
0xe52ee3db0587170deb20b1c71b17229a28b79a9b,Melon Fund: Ranking,Enzyme Finance
0xdb0e414f86f94e69b5be00b5df8a85f793f94aca,Melon Fund: Risk Mgmt,Enzyme Finance
0x073c4ea5a89d0e5aa0408a1b6dd8bbfcdba985c0,Melon Fund: Version,Enzyme Finance
0x4a3943269c581efcbd0875a7c60da1c35a7c85c2,Melon Fund: ZeroEx V1 Adapter,Enzyme Finance
0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1,Melon: Old Token,Enzyme Finance
0x3c75d37b579e0e4896f02c0122baa4de05383a6a,Melon: Spender Address,Enzyme Finance
0x3bf541f87056d134e0109be1be92978b26cb09e0,Melonport: Token Sale,Enzyme Finance
