Contract Address,Token Name,Website,Label
0xfd09911130e6930bf87f2b0554c44f400bd80d3e,Ethix ((ETHIX)),https://ethichub.com/,Agriculture
0x390603f023a33c76e3a4bf7b6cc9fba5e87dd05d,PotCoin.com POT ((POT)),https://potcoin.com/,Agriculture
0xe52a736828c782c2a4a345bbe8052aed010fc82d,Huanghuali Token ((HLT)),https://www.holytoken.net/,Agriculture
0x41f723448433367be140d528d35efecd3e023db6,Farm Partner ((FARM)),,Agriculture
0xb8305439e5de26b4f913a5d9f3cca433f6700047,FarmerAndOne Token ((FAO)),http://farmone.co.kr/,Agriculture
0x19b67be378a5a66c641d15aeb46f2e94974a8a61,KNN Token ((KNN)),https://kannacoin.io/en/,Agriculture
0x4ae80405b877256fb46f678ec8555f24e1febe3e,DynAgro Benefit Token ((DAQ)),https://dynagro.cz/,Agriculture
0x720c2c93f5f9a6b82226e84095558b10f399b0fa,Gric Coin ((GC)),https://www.agric.io/,Agriculture
0xb99c9e436a630202e40c90ba9b65dcb610200066,Agrotoken SOYA ((SOYA)),https://agrotoken.io/en/,Agriculture
0x1fd27f0cfc6f273b87a5e0f6fcf063422e7bcd6a,Agrocoin ((AGRO)),https://bitagro.io/,Agriculture
0x50551265ba0aef89c43f9a965e58922867a6eb3a,GoldAgriculturalChain ((GACT)),https://gact.io/index-en.html,Agriculture
0x72c9fb7ed19d3ce51cea5c56b3e023cd918baadf,Agrolot Token ((AGLT)),https://agrolot.io/,Agriculture
0xc295c6606a21b1ed26753f964cdc9a8bdf5ffa60,DURIAN ((DURC)),http://www.durianbentong.com/,Agriculture
0x28b496ad86eddc894f0bf509ae7c50def5e6bae0,Oimo Coin ((OIMO)),https://sweetpotatoes.jp/,Agriculture
0x621181f41f9c2ce98a0c72ec884aa3354c894fbd,FARMIES DOLLAR ((FUSD)),http://www.farmies.com/,Agriculture
0x784002569298b13982e313b5fa37757d85b79c7b,Dazzling Fugu Token,https://www.transportgenie.ca/,Agriculture
0xd501900646641eaf5755758e11eeaa43df691924,VKenaf ((VKNF)),https://vkenaf.com/,Agriculture
0x2da5133c2b4875186cbd4901caf0d32a6842472d,ambrosia ((ambs)),http://www.ambrosia.fit/,Agriculture
0x67d838e04cd073273a76f8b59c14b67aba8a6b62,TRADERX COIN ((TDR)),https://www.traderxcoin.com/,Agriculture
0x865d176351f287fe1b0010805b110d08699c200a,BananaCoin Extended ((BCO)),http://www.bananacoin.io/,Agriculture
0x369eb6821c94a78428f7c86c768590f53950068f,ATFS ((ATFS)),https://www.atfslab.io/,Agriculture
0x6876eba317272fe221c67405c5e8eb3b24535547,Micro Tuber ((MCT)),https://microtuber.io/,Agriculture
0x891fde3771f8095e437754fc1a4aad6937378491,AgroToken Corn Argentina ((CORA)),https://agrotoken.io/en/,Agriculture
0xe912b8ba2513d7e29b7b2e5b14398dbf77503fb4,InventoryClub Token ((VNT)),https://www.inventoryclub.com/,Agriculture
0xf2da37643c25ca14291c2a69f51423ed9b7ff4b0,Farmsent ((FARMS)),https://www.farmsent.io/,Agriculture
0x3be6e7bf2cd8e1a0a95597e72ca6d3709bbeff76,DMTC Token ((DMTC)),https://dmtc.io/,Agriculture
0x6a8c66cab4f766e5e30b4e9445582094303cc322,FARM DeFi ((PFARM)),https://farm.plaas.io/,Agriculture
0x9c45bce7c51d3900d6cb7025eea9c3b0675c65c4,Planetagro-Exchange ((ONION)),https://www.planetagro.org/onion-exchange,Agriculture
0x017b584acfd16d767541ae9e80cdc702f4527b0b,ASYAGRO ((ASY)),http://asyagro.io/,Agriculture
0x3dd957216c182675f630ee2ee957a5c735472fd1,Planetagro-Exchange ((LEMON)),https://www.planetagro.org/lemon-exchange,Agriculture
0xac3a39f843316c83db11a9e6d703a7473c26ace0,Quiescent Eel Token,https://www.transportgenie.ca/,Agriculture
0x1457d986d8c9c80d32f557e28984c61f6cf5b31e,Vibrant Narwhal Token,https://www.transportgenie.ca/,Agriculture
