Contract Address,Token Name,Website,Label
0x7d5121505149065b562c789a0145ed750e6e8cdd,Victoria VR ((VR)),https://victoriavr.com/,AR
0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,OVR ((OVR)),https://www.ovr.ai/,AR
0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,Arcona Distribution Contract ((ARCONA)),https://www.arcona.io/index.html,AR
0xd9e8ebaca4f10d73a925d0c8890020f8beec41d4,ARXP Augmented Reality Token ((ARXP)),https://www.arxp.io/,AR
0xec0e083d037be919375c39d13b74856647a03632,YoHunt ((YoKen)),https://yohunt.io/,AR
0x2ad180cbaffbc97237f572148fc1b283b68d8861,IZX Token ((IZX)),https://izx.io/,AR
0xfb067bb7f66ba03dda09bc652fca7922a592bf14,SMELLY CAT AR ((SCAR)),https://smellycatar.com/,AR
0x2d55344bc1f72e0ccbee2d8d2eab503dedff67c8,PHI ((PHI)),https://phi.network/,AR
0x6e47384ff019f23c87406bf5cd39f2009782284f,OVR Subdomains ((OVRENS)),https://www.ovr.ai/,AR
0x8ed2fc62d6850eaadcb717465752dab591286839,Elyssa AR (($ELY)),https://elyssa.io/,AR
0xadf8b8050639b6236915f7516d69de714672f0bf,Scanetchain ((SWC)),https://www.scanetchain.io/,AR
