Contract Address,Token Name,Website,Label
0xdf81e9ff9c0a154094e4d196690da99c49dfebe2,Polkadot ((DOT)),https://polkaswap.io/,Bridged Token
0x21c2c96dbfa137e23946143c71ac8330f9b44001,Polkadot (IBC) ((DOT)),https://www.ibcprotocol.dev/,Bridged Token
0x519ddeff5d142fc177d95f24952ef3d2ede530bc,Cosmos Hub (IBC) ((ATOM)),https://www.ibcprotocol.dev/,Bridged Token
0xcf7e6742266ad5a76ee042e26d3f766c34195e5f,dogwifhat (IBC) ((WIF)),https://www.ibcprotocol.dev/,Bridged Token
0x1151cb3d861920e07a38e03eead12c32178567f6,Bonk ((Bonk)),https://www.bonkcoin.com/,Bridged Token
0x4aef9bd3fbb09d8f374436d9ec25711a1be9bacb,Bonk (IBC) ((BONK)),https://www.ibcprotocol.dev/,Bridged Token
0x013addc6512432304c055cec20bbb0f6aa5ed7d5,Sei (IBC) ((SEI)),https://www.ibcprotocol.dev/,Bridged Token
0xda7fa7248f62e051cca4af2522439a61d3976462,Marinade Staked SOL (IBC) ((mSOL)),https://www.ibcprotocol.dev/,Bridged Token
0x756bfb452cfe36a5bc82e4f5f4261a89a18c242b,(Wormhole) (()),https://wormholebridge.com/#/,Bridged Token
0x26b80fbfc01b71495f477d5237071242e0d959d7,Wrapped ROSE (Wormhole) ((wROSE)),https://wormholebridge.com/,Bridged Token
0x5cd8cd3c5e8780ccbc74277f22b099fefd04f5ef,Jupiter Staked SOL (IBC) ((jupSOL)),https://www.ibcprotocol.dev/,Bridged Token
0xe3da3fed5478741e5275cfffd07abf566a54e0d8,Kusama ((KSM)),https://polkaswap.io/,Bridged Token
0xb44d6c324a6c15127f1451465f1e1dbc39142a60,Kusama (IBC) ((KSM)),https://www.ibcprotocol.dev/,Bridged Token
0x3294395e62f4eb6af3f1fcf89f5602d90fb3ef69,Celo native asset (Wormhole) ((CELO)),https://www.portalbridge.com/,Bridged Token
0xd5cd84d6f044abe314ee7e414d37cae8773ef9d3,Harmony ONE ((1ONE)),https://www.harmony.one/,Bridged Token
0xf7f00d598b2a651404993e93df7ae16c3c736f3c,Secret (IBC) ((SCRT)),https://www.ibcprotocol.dev/,Bridged Token
0xb9f747162ab1e95d07361f9048bcdf6edda9eea7,Star Atlas (Wormhole) ((ATLAS)),https://wormholebridge.com/#/,Bridged Token
0x3f8bb8634ca4a61aa23cd0df00c3152e0eaf9587,Stride (IBC) ((STRD)),https://www.ibcprotocol.dev/,Bridged Token
0xb4b9dc1c77bdbb135ea907fd5a08094d98883a35,SWEAT ((SWEAT)),https://sweateconomy.com/,Bridged Token
0xbdf0b5e9df9d0e82197534f39c3582c4e79b746b,Magpie Token ((MGP)),https://www.magpiexyz.io/earn,Bridged Token
0x79f05c263055ba20ee0e814acd117c20caa10e0c,Ice ((ICE)),,Bridged Token
0xa534115da1c1e51cb2c6e8bc1fba23a5189a1de2,Stride Staked ATOM (IBC) ((stATOM)),https://www.ibcprotocol.dev/,Bridged Token
0xc22956c3cfec3ee9a9925abee044f05bc47f6632,Celo Dollar (Wormhole) ((cUSD)),https://www.mento.org/,Bridged Token
0xf09dea9375ecd3500c565973d21822f0383f1099,Impossible Decentralized Incubat ((IDIA)),https://impossible.finance/,Bridged Token
0x59e0499554cdcdfa90ccd96532e5ad5883a2a956,Stargaze (IBC) ((STARS)),https://www.ibcprotocol.dev/,Bridged Token
0xa88bb3eb033f359fef934dd3b4b753847318072c,Archway (IBC) ((ARCH)),https://www.ibcprotocol.dev/,Bridged Token
0x89e8e084cc60e6988527f0904b4be71656e8bfa9,Smog ((SMOG)),,Bridged Token
0xe3adaa4fb7c92ab833ee08b3561d9c434aa2a3ee,Serum ((SRM)),https://portal.projectserum.com/,Bridged Token
0x00e856ee945a49bb73436e719d96910cd9d116a4,Shiden ((SDN)),https://shiden.astar.network/,Bridged Token
0x11539a7931c82191af65406ba986bf5b90a3f5e4,Shade Protocol (IBC) ((SHD)),https://www.ibcprotocol.dev/,Bridged Token
0xee586e7eaad39207f0549bc65f19e336942c992f,Celo Euro (Wormhole) ((cEUR)),https://www.mento.org/,Bridged Token
0xb5b1b659da79a2507c27aad509f15b4874edc0cc,DUST Protocol ((DUST)),https://www.dustprotocol.com/,Bridged Token
0x979aca85ba37c675e78322ed5d97fa980b9bdf00,Fusion ((anyFSN)),https://anyswap.exchange/,Bridged Token
0x1edb7e6c9b5a717f8f98d3f0270c23a79f77076c,Everyworld ((EVERY)),https://www.everyworld.com/,Bridged Token
0x3d078b97918ede947af59e679ecef9fd87c32082,Edgevana Staked SOL (IBC),https://www.ibcprotocol.dev/,Bridged Token
0xc0b314a8c08637685fc3dafc477b92028c540cfb,Wombat Token ((WOM)),https://www.wombat.exchange/,Bridged Token
0x174c47d6a4e548ed2b7d369dc0ffb2e60a6ac0f8,Amulet ((AMU)),https://amulet.org/,Bridged Token
0x7d1b634d825221e8d8f619c5fa06a3f57dafd5c6,Inter Stable Token (IBC) ((IST)),https://www.ibcprotocol.dev/,Bridged Token
0x9b25889c493ae6df34ceef1ecb10d77c1ba73318,MEAN ((MEAN)),https://meanfi.com/,Bridged Token
0x566957ef80f9fd5526cd2bef8be67035c0b81130,USD Coin (PoS) (Wormhole) ((USDC)),https://wormholebridge.com/#/,Bridged Token
0xe95076d9fe7155c17b455ac49497e78912c4ab65,Dollar ((DOLLAR)),https://dollaronsolana.lol/,Bridged Token
0x93e32efafd24973d45f363a76d73ccb9edf59986,Bitlocus Token (Wormhole) ((BTL)),,Bridged Token
0xe28027c99c7746ffb56b0113e5d9708ac86fae8f,KING ((KING)),https://www.kingcoinsol.com,Bridged Token
0x20d60c6eb195868d4643f2c9b0809e4de6cc003d,PlayNity token (Wormhole) ((PLY)),,Bridged Token
0x3ef389f264e07fff3106a3926f2a166d1393086f,Sator (Wormhole) ((SAO)),https://www.sator.io,Bridged Token
0xcb6150818fd5dc7746ca2ea0652c784847fd6f7e,Quickswap (Wormhole) ((QUICK)),,Bridged Token
0x9aa9737190426e2ad8dfa1f72a84246fe2f7919d,USDC ((USDC)),,Bridged Token
0xab522e689796277e8661526407ca7fac8f225ef0,NFT Worlds ((WRLD)),,Bridged Token
0x52bdb2399dfe7b1e6ab3f65de46954606954d608,Realio Token ((RIO)),,Bridged Token
0x8dc21c4882324acb3b92617b724e0348d019d18e,PayBolt (Wormhole) ((PAY)),,Bridged Token
0x84c2268679de7f772daa8a1794adc93a5b5f571c,ZEDXION,,Bridged Token
0x335e165da85a46439ca9aa384de4d6b1276e6ec7,Wrapped eETH ((weETH)),,Bridged Token
0x6e60eccf388d8b911dffeab4fda06d8b6c87b819,Lil Potates ((LP)),,Bridged Token
