Contract Address,Token Name,Website,Label
0x36fbc0bdbb8299b89d10c2bc8852c48645a1a7a4,Thermal Death ((TDPX)),https://www.wedontdo.art/,Collaboration
0x386467f1f3ddbe832448650418311a479eecfc57,Embers ((EMB)),https://www.embermine.com,Collaboration
0x57700244b20f84799a31c6c96dadff373ca9d6c5,TRUST DAO ((TRUST)),https://www.trustdao.network/,Collaboration
0x604026696fdb3c6720ae3049c46d59ac604dea0a,Exciting Japan Coin ((XJP)),https://xjp.theblog.me/,Collaboration
0x95027dab6be9769c84a67ca3ddc1446fba91f4b8,Phoenix ((PXCC)),https://px-coin.com/,Collaboration
0x9ff34c249652fbdd119c1ea167ca4850e632624c,Rozano Network ((RZN)),https://rozano.network/,Collaboration
0x14cc8dfaf2258e1b8b2869300dba1b734dc0fe43,K-Tune Token ((KTT)),https://www.k-tune.org/,Collaboration
0xb45e608dafb6ced582aa337558b7c82f59a3e2b4,ETHLocal ((LOCAL)),https://ethlocal.co/,Collaboration
0x1b4052d98fb1888c2bf3b8d3b930e0aff8a910df,Community Token ((COM)),https://communitymetaverse.space/,Collaboration
0xe3d208d74e4c167245913c942df8c4ee03b9abba,Hydra ((HDA)),https://zolous.com/,Collaboration
