Contract Address,Token Name,Website,Label
0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,Numeraire ((NMR)),https://erasure.world/,Fund
0x26e75307fc0c021472feb8f727839531f112f317,Crypto20 ((C20)),https://crypto20.com/,Fund
0x3a92bd396aef82af98ebc0aa9030d25a23b11c6b,Tokenbox ((TBX)),https://tokenbox.io/,Fund
0x05d48a612ca736b51521e3ed9353d4dc193aeecf,EasyCrypto 10 ((EC10)),https://easycrypto.co.za/,Fund
0xf03d05ed4cf4e723c04500ab64281bfa591968f2,iob.fi DAO ((FI)),https://iob.fi/,Fund
0xb2e260f12406c401874ecc960893c0f74cd6afcd,BitUP Token ((BUT)),https://bitup.com/,Fund
0xd2b93f66fd68c5572bfb8ebf45e2bd7968b38113,Catnip ((NIP)),https://www.nyan.finance/,Fund
0xcc4ef9eeaf656ac1a2ab886743e98e97e090ed38,Digital Developers Fund Token ((DDF)),https://www.digitaldevelopersfund.com/,Fund
0x04b5e13000c6e9a3255dc057091f3e3eeee7b0f0,UNIFUND ((iFUND)),https://unifund.global/#/landing,Fund
0x2d4de3c744d43cf77cb12399921faf0d78b7415b,Boldman ((BOLD)),https://boldman.capital/,Fund
0xedc2f2077252c2e9b5cb5b5713cc74a071a4d298,VACUUM (f) SPACE ENERGY ((VfSE)),https://vacuum.foundation/,Fund
0x036407f23d5e1c1486f7488332cf54bf06e5f09f,Alphabit ((ABC)),,Fund
0xc612796023a967d6a6f2203c4bb71e9e58e340ad,BYTNODE ((BYTE)),https://bytnode.com/,Fund
0x2f9b6779c37df5707249eeb3734bbfc94763fbe2,CrowdWizToken ((WIZ)),https://crowdwiz.io/,Fund
0x462edaa6c1339f98bcb59582af782326603df5f2,NTerprise ((NTER)),https://nterprise.britishcapital.org/,Fund
0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,Smart Investment Fund Token ((SIFT)),https://smartift.com/,Fund
0xe831f96a7a1dce1aa2eb760b1e296c6a74caa9d5,Nexum Coin ((NEXM)),https://nexum.ai/,Fund
0xed314bf44013612e8c00abd3cb6eade61cc8c72e,SmartFund ((SF)),https://1smart.fund/,Fund
0x1f41e42d0a9e3c0dd3ba15b527342783b43200a9,BCAP ((BCAP)),http://blockchain.capital/,Fund
0xf5832512cfda8083e5b2dd0aa7c1b9265c03ba1f,Zugacoin ((SZC)),https://zugacoin.io/,Fund
0x799d214d7143b766cdd4979cd0280939288ba931,Countinghouse Fund ((CHT)),https://www.countinghousefund.com/,Fund
0x99963ee76c886fc43d5063428ff8f926e8a50985,INVIZION ((NVZN)),https://nvzntoken.com/,Fund
0xf5b815344641412401d8e868790dbd125e6761ca,Pecunio ((PCO)),https://pecun.io/,Fund
0xe0868419d2b05f3ec7c521949458c07efd6131ac,Golden Roads Capital ((GRC)),https://goldenroadscapital.com/,Fund
0x7b22938ca841aa392c93dbb7f4c42178e3d65e88,AstroTokens ((ASTRO)),https://astronaut.capital/,Fund
0xde865ed1c50e753d248a0f2c9c5ae02b9e41b6ae,Revolt Token ((RVLT)),http://www.revolttoken.com/,Fund
0x1a4f5e02a128c729829951ac917c5361512ff6aa,Bitdollar ((BTD)),http://bitdollarfund.com/,Fund
0x7a3d3c4f30c46f51b814bee23d970a7c9b757a32,ASGARD ((ASG)),https://asgardecofund.io/,Fund
0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,TAAS ((TAAS)),https://taas.fund,Fund
0x0a51ecf7362ce03f75a20cad7671741953d2d7c8,Phoenix Fund ((PHX)),https://phoenixcrypto.fund/,Fund
0xdc6276d9e354f0024bc3b39e9790695e91ae0ec3,Sonata Capital ((SONATA)),https://www.sonata.capital/,Fund
0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed,DCORP ((DRP)),https://www.dcorp.it/,Fund
0x6130ff302f24267380753e52ece48b852be3dd38,IOB Token ((IOB)),https://iob.fi/,Fund
0x1f9f9bc358ddc30763e81a0081b86a638e6277ab,CryptoNote Index Fund Token ((CNIF)),https://cryptonote.fund/,Fund
0x81083074be2a2002ba596280f21ce08c41f31853,Sonata Asia Growth Fund ((SAGF)),https://www.sonata.capital/,Fund
