Contract Address,Token Name,Website,Label
0xca14007eff0db1f8135f4c25b34de49ab0d42766,Starknet Token ((STRK)),https://starknet.io/,Layer 2
0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,SKALE ((SKL)),https://skale.space/,Layer 2
0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,Cartesi Token ((CTSI)),https://cartesi.io/,Layer 2
0x10dea67478c5f8c5e2d90e5e9b26dbe60c54d800,Taiko Token ((TAIKO)),https://taiko.xyz/,Layer 2
0xaaaaaa20d9e0e2461697782ef11675f668207961,Aurora ((AURORA)),https://aurora.dev/,Layer 2
0x42bbfa2e77757c645eeaad1655e0911a7553efbc,Boba Token ((BOBA)),https://boba.network/,Layer 2
0x2be5e8c109e2197d077d13a82daead6a9b3433c5,Tokamak Network Token ((TON)),https://tokamak.network/,Layer 2
0x059956483753947536204e89bfad909e1a434cc6,MLTToken ((ML)),https://www.mintlayer.org/,Layer 2
0xa1a52e35bf516edbd166d9a1b0097cbf11483a5d,ZKF ((ZKF)),https://zkfair.io/,Layer 2
0x15e6e0d4ebeac120f9a97e71faa6a0235b85ed12,SatoshiVM ((SAVM)),https://www.satoshivm.io/,Layer 2
0x0921799cb1d702148131024d18fcde022129dc73,LightLink ((LL)),https://lightlink.io/,Layer 2
0x25500000d700bbe27104577cccce8eabcc96c8ad,Kroma ((KRO)),https://kroma.network/,Layer 2
0x1123d17fcf93ed2b41440317503346a0fdfe3ed7,Prometheum Prodigy ((PMPY)),https://www.prometheumprodigy.org/,Layer 2
0x1fbd3df007eb8a7477a1eab2c63483dcc24effd6,ScaleSwapToken ((SCA)),https://scaleswap.io/,Layer 2
0x3ada3bf9a5c5c59523d6193381c0d14787070e54,Neva Network ((NEVA)),https://neva.network/,Layer 2
0xb53de031602cd825febe9f2eedf962cd8cc3805d,ZKCHAOS ((CHAOS)),https://www.zkchaos.com/,Layer 2
0x41ef5d01f5acb6e13c2c7c3e6000a131ea534426,OEBlock ((OEB)),https://oeblock.com/,Layer 2
0xc4a11aaf6ea915ed7ac194161d2fc9384f15bff2,Wrapped TON ((WTON)),https://tokamak.network/,Layer 2
0xc56aa8032d2cda3e401171b7787205f6640837d9,ALPINE ((ALP)),https://alpinecoin.io/,Layer 2
0x31640330cd2337e57c9591a2a183ac4e8a754e87,SERA ((SERA)),https://seraproject.org/,Layer 2
0x47d20c7800906e01adfc890f283c110ba70a6c97,Azure ((AZR)),https://azurecoin.io/,Layer 2
0x3642c0680329ae3e103e2b5ab29ddfed4d43cbe5,Plenny ((PL2)),https://plenny.link/,Layer 2
0x755e83f560335e6bb8e45e44460ec4af598e24c9,Slash Protocol ((SLASH)),https://www.slashprotocol.com/,Layer 2
0x5cc5e64ab764a0f1e97f23984e20fd4528356a6a,XRGB ((XRGB)),https://xrgb.xyz/,Layer 2
0x429876c4a6f89fb470e92456b8313879df98b63c,Cryption Network Token ((CNT)),https://cryption.network/,Layer 2
0xad53ed3fee57160f026189eb91e73e9317fa92f1,ZkTAO ((ZAO)),https://zktao.ai/,Layer 2
