Contract Address,Token Name,Website,Label
0xf0c5831ec3da15f3696b4dad8b21c7ce2f007f28,AXIS Token ((AXIS)),https://axistoken.io/,Logistics
0xedadeb5faa413e6c8623461849dfd0b7c3790c32,OBORTECH ((OBOT)),https://www.obortech.io/,Logistics
0x79c5a1ae586322a07bfb60be36e1b31ce8c84a1e,Freight Trust Network ((EDI)),https://freighttrust.com/,Logistics
0x7d9564dab2c58f163d0125892d25cf58d4494de5,Conventment ((CNVT)),https://www.conventment.com/,Logistics
0x8c39afdf7b17f12c553208555e51ab86e69c35aa,Fr8 Network ((FR8)),https://fr8.network/,Logistics
0xff340f03e226b669c873516755a6b88a45b0b2ac,New Silk Road Token ((NSRT)),http://newsilkroadbrics.com/,Logistics
0x9d561d63375672abd02119b9bc4fb90eb9e307ca,Direct ((DRCT)),https://direct.allynow.com/,Logistics
0xa5f8fc0921880cb7342368bd128eb8050442b1a1,Block Array ((ARY)),https://blockarray.com/,Logistics
0xc0506ceb264b057182a4c3ab8a0b910a545479f0,SLOGN ((SLGN)),https://www.slogn.net/,Logistics
0x13a0599c493cc502ed8c4dd26f22f5cedc248fc4,Export Motors Platform ((EMP)),http://emptrade.io/,Logistics
0xc45dbdf28844fdb1482c502897d433ac08d6ccd0,BitNautic Token ((BTNT)),https://bitnautic.com/,Logistics
0x286bda1413a2df81731d4930ce2f862a35a609fe,WaBi ((WaBi)),https://wabi.io/,Logistics
0xe1f4328def6ae4ae2eeac62d58baeaecf05e8d30,Serve ((SERV)),https://serve.io/,Logistics
