Contract Address,Token Name,Website,Label
0xf87c4b9c0c1528147cac4e05b7ac349a9ab23a12,Wrapped MiL.k ((WMLK)),https://milkalliance.io/,Loyalty and Rewards
0xa6c0c097741d55ecd9a3a7def3a8253fd022ceb9,AVA ((AVA)),https://www.avafoundation.org/,Loyalty and Rewards
0x42726d074bba68ccc15200442b72afa2d495a783,Isik Coin ((ISIKC)),https://www.isikc.io/,Loyalty and Rewards
0x1bf7fd22709733ccd7c45ab27dd02c7ec8e50078,Qtcon ((QTCON)),http://www.quiztok.com/,Loyalty and Rewards
0x581911b360b6eb3a14ef295a83a91dc2bce2d6f7,MileVerse ((MVC)),https://www.mileverse.com/,Loyalty and Rewards
0x00059ae69c1622a7542edc15e8d17b060fe307b6,AmonD ((AMON)),https://ados.foundation/,Loyalty and Rewards
0x9f9913853f749b3fe6d6d4e16a1cc3c1656b6d51,BITTOKEN ((BITT)),https://www.bittoken.club/,Loyalty and Rewards
0x3ffffa8f3cc943e43f9f17a83cbb18f4bbb9f4ac,rewardiqa ((REW)),https://rewardiqa.com/,Loyalty and Rewards
0xe1431643574ba7bac71a3b2ca52b00aca852e4a4,Fridn Activity Rewards ((eFAR)),https://fridn.com/,Loyalty and Rewards
0xc59cb23295e2deeb66bd090acb6b02be8d30a11f,kublaicoin ((KUB)),https://kublaicoin.io/,Loyalty and Rewards
0x6d2c508fc4a588a41713ff59212f85489291d244,Bloomzed Loyalty Club Ticket ((BLCT)),https://bloomzed.io/,Loyalty and Rewards
0x21d5678a62dfe63a47062469ebb2fac2817d8832,YoloCash ((YLC)),https://www.yolocash.co/,Loyalty and Rewards
0x1b9ca7b944f7c6f8a3ab349e435646c1b549417a,EIR ((EIR)),http://www.eirchain.io/,Loyalty and Rewards
0xd83c569268930fadad4cde6d0cb64450fef32b65,Invictus Capital Token ((ICAP)),https://invictuscapital.com/en/icap,Loyalty and Rewards
0x98c5aa4319df4c6a88679a32420121f1b184a068,Wowbit ((WWB)),https://wowoonet.com/,Loyalty and Rewards
0xe3278df3eb2085ba9b6899812a99a10f9ca5e0df,TouristToken ((TOTO)),https://globaltourist.io/,Loyalty and Rewards
0x97abee33cd075c58bfdd174e0885e08e8f03556f,Sentiment Token ((SENT)),https://www.senttoken.com/,Loyalty and Rewards
0x6a073ddabcaec5362b3d2a3290be80b35397e48b,Pistoletoken ((ILE)),https://www.pistole.io/,Loyalty and Rewards
0x3d254e5b6b21bfab4bb97489fc28ee4c3f44c6d8,HOLA COINS ((HAC)),https://www.holacoins.club/,Loyalty and Rewards
0xc62913633428cd77b5281028cfa0bbacdd96a77c,DATT ((DATT)),https://datt.one/,Loyalty and Rewards
0x687174f8c49ceb7729d925c3a961507ea4ac7b28,GAT ((GAT)),https://www.gatcoin.io/,Loyalty and Rewards
0x96b0bf939d9460095c15251f71fda11e41dcbddb,Sharpay ((S)),https://sharpay.io/,Loyalty and Rewards
0xf54b304e2e4b28c7e46619d1a340f9b2b72383d7,Kranz Token ((KRZ)),https://www.kranz.finance/,Loyalty and Rewards
0x9affc3b52fcd18bf2d7b6e715e511eaa3a973638,Nexxus ((NXR)),http://www.nexxusrewards.com/,Loyalty and Rewards
0xc014186cf1ba36032aaec7f96088f09eb3934347,WeCoOwn Rewards ((WCX)),https://www.wecoownrewards.com/,Loyalty and Rewards
0xc6363c1a05f840be2d185d7084b28af84c543d40,BMToken ((BMT)),https://bmct.io/,Loyalty and Rewards
0xb5ca46cf1da09248126682a7bd72401fd7a6b151,Provoco Token ((VOCO)),https://provoco.me/,Loyalty and Rewards
0x09851dd4760a8ed111f850affb38b10f84e80c8a,Kudoken ((KDU)),https://kudoken.io/,Loyalty and Rewards
0x2e566bb9e0d44ddcb1e33f1d237ec878d94fb18c,Blackrint Coin ((RIN)),http://www.blackrint.com/blockchain,Loyalty and Rewards
0xfa93660c3f6a848556bb8e265f994160a1f2b289,Community Business Token ((CBT)),https://www.communitybusinesstoken.com/,Loyalty and Rewards
0x790304309388c417ff8aab454b8d27e79cad1df5,ScepterCash ((SCPT)),https://sceptercash.io/,Loyalty and Rewards
0x20211ab9388781532fece6c57347a0004a420f16,Enceladus Network ((ENCX)),https://www.enceladusnetwork.com/,Loyalty and Rewards
0x3dc9a42fa7afe57be03c58fd7f4411b1e466c508,CryptoLiveLeak ((CLL)),https://attentionmining.com/,Loyalty and Rewards
0x136210a5c79d2435432e443f7155d9d83600ac70,Cowrie ((COWRIE)),https://community.mycowrie.org/,Loyalty and Rewards
0xbac7a1798350cdf2dbfe0c210c2c9861223f4b31,Moneynet Coin ((MNC)),https://moneynet.io/,Loyalty and Rewards
0xd80f72a6558ec337e0d4cf76b8752b17fa770860,Rewards ((RWD)),https://mycryptocheckout.com/rwd/,Loyalty and Rewards
0xec1a718d1a6f8f8d94ecec6fe91465697bb2b88c,ENTONE ((ENTONE)),https://entone.io/,Loyalty and Rewards
0x6653c0d21507573cc39ead1e609d74d5e0ca16e2,Refork ((EFK)),https://refork.org/,Loyalty and Rewards
0x2baac9330cf9ac479d819195794d79ad0c7616e3,AdBank ((ADB)),https://adbank.network/,Loyalty and Rewards
0x6b9f9d8ef588470932b693864a62021cabb65ce9,BoxKey ((BX)),https://boxswap.io/,Loyalty and Rewards
0x4b7ad3a56810032782afce12d7d27122bdb96eff,Sparkle ((SPRKL)),https://sparkleloyalty.io/,Loyalty and Rewards
0x5c211b8e4f93f00e2bd68e82f4e00fbb3302b35c,Global Citizens ((GCC)),https://gccnft.xyz/,Loyalty and Rewards
0x95efd1fe6099f65a7ed524def487483221094947,Crypto Bonus Miles Token ((CBM)),https://cryptobonusmiles.com/,Loyalty and Rewards
0x92685e93956537c25bb75d5d47fca4266dd628b8,BitlleToken ((BTL)),https://bitlle.network/,Loyalty and Rewards
0x66fd97a78d8854fec445cd1c80a07896b0b4851f,Lunch Money ((LMY)),https://www.lunchmoney.io/,Loyalty and Rewards
0xb747b058f122bd2bb72fa1a0f94a8a3d7d450a00,Elephant Chateau ((ECT)),https://elephantchateau.com/,Loyalty and Rewards
