Contract Address,Token Name,Website,Label
0x18aaa7115705e8be94bffebde57af9bfc265b998,Audius ((AUDIO)),https://audius.co/,Music
0xd8c0b13b551718b808fc97ead59499d5ef862775,Gala Music (($MUSIC)),https://music.gala.com/,Music
0x4f08705fb8f33affc231ed66e626b40e84a71870,Flute ((FLUT)),https://www.flut.cloud/,Music
0xff44b937788215eca197baaf9af69dbdc214aa04,ROCKI ((ROCKI)),https://rocki.com/,Music
0x29d7139271398d0c2e22523fda06e023dcb07f8f,Klub Coin ((KLUB)),http://www.klubcoin.net/,Music
0x936b6659ad0c1b244ba8efe639092acae30dc8d6,CO ((CO)),https://corite.org/,Music
0x80640db285cc63496bdd8c1980a7f4526a4d477f,BeatzCoin ((BTZC)),https://www.beatzcoin.io/,Music
0x08ba718f288c3b12b01146816bef9fa03cc635bc,Centaurify ((CENT)),https://centaurify.io/,Music
0xa2881f7f441267042f9778ffa0d4f834693426be,The HUSL ((HUSL)),https://thehusl.io/,Music
0x093802653d2726ea91b4508bd82a5723445cf267,ASSA ((ASSA)),http://www.assaplay.com/,Music
0x35747eb4c027ebbf0a7f4e642627afcd7fd8cd7a,Musicoin ((MUSIC)),https://musicoin.org/,Music
0x752aa32a2cc49aed842874326379ea1f95b1cbe6,DIGITAL,http://danky.art/,Music
0x0a6e481cb5f2d976b2edac4f67dcc824ccdae4af,Audify ((AUDI)),https://audifystream.com/,Music
0x5dccbd3c209ab63f2f61a35f326eecc6291c0082,Julian Mudd - Growing Pains ((JMGP)),https://muddy.julianmudd.com/,Music
0x78c292d1445e6b9558bf42e8bc369271ded062ea,CyberMusic ((CYMT)),https://cybermusic.io/,Music
0x1afb69dbc9f54d08dab1bd3436f8da1af819e647,MELOS ((MELOS)),https://www.melos.studio/,Music
0xeadff826d532db453b74af636b04232388e7bf0e,UMG_Collection ((UMG)),https://www.centaurify.io/,Music
0xc17b6c92bb728259ca2f76c88a4a48ac077587f7,Vinyl ((VINYL)),https://www.nftfm.io/,Music
0xba745513acebcbb977497c569d4f7d340f2a936b,Mainstream For The Underground ((MFTU)),https://www.mftu.net,Music
0x878d3f87c163951ef2923d09859aff45dc34a45a,NFT Concerts ((NFTC)),https://nftconcerts.com/,Music
0xd15a1a2a3211b58113e45809f05934252e34e2f8,WooZooMusic ((WZM)),https://woozoomusic.com/,Music
0x78441c822f5ed01ea0990681d871300c9af4c044,KAPSLAP,http://kapslap.xyz/,Music
0xbc0d84fa6260e065f330d51621d682d2630f4aa2,BeatBind ((BBND)),https://beatbind.io/,Music
0x1f35a281036be57e64e7e7a2a556b4f888a1b829,Muzika ((MZK)),https://muzika.network/,Music
0xc0add6fc2942d86b132f52a0a909ad6b34baaf42,Meteora ((MRA)),https://meteora.audio/,Music
0x43b72bf7f46d72f2d917f49bd97b9a000143eab7,MMT ((MMT)),https://musicmetaversetoken.xyz/,Music
0x191275dc7194fba21467c30181ea90df13bf8192,OnChain Music ((MUSIC)),https://www.onchainmusic.com/,Music
0xe4ae84448db5cfe1daf1e6fb172b469c161cb85f,Utopia Open Platform ((UOP)),https://utopiagenesis.com/,Music
0x6e6650fd4949fddf0bacc45c06ae3437f61acb1b,omgkirby x CT ((OMGCT)),https://www.notables.co/gallery/omgchannel,Music
0x77a1f4e744d810239f465043e35d067ca33de259,Voice Street Token ((VST)),https://www.voicestreet.org/,Music
0xc22b30e4cce6b78aaaadae91e44e73593929a3e9,RAC ((RAC)),https://ourzora.com/rac,Music
0x77dbd46264dc9d5d4283c4e3616715195691c4ee,Blockchain Music ((BMC)),https://blockchainmusic.tech/,Music
0x4fabf135bcf8111671870d4399af739683198f96,XaveCoin ((XVC)),https://xavecoin.com/,Music
