Contract Address,Token Name,Website,Label
0x3506424f91fd33084466f402d5d97f05f8e3b4af,chiliZ ((CHZ)),https://www.chiliz.com/,Platform
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,Zilliqa ((ZIL)),https://www.zilliqa.com/,Platform
0x3103df8f05c4d8af16fd22ae63e406b97fec6938,WQtum ((WQTUM)),https://qtum.org/,Platform
0x39bb259f66e1c59d5abef88375979b4d20d98022,WAX Token ((WAX)),https://wax.io/,Platform
0x0501b9188436e35bb10f35998c40adc079003866,AI Analysis Token ((AIAT)),https://aianalysis.group/,Platform
0xb879da8b24c9b8685de8526cf492e954f165d74b,MovieBloc ((MBL)),https://www.moviebloc.com/,Platform
0x589891a198195061cb8ad1a75357a3b7dbadd7bc,Contentos ((COS)),https://www.contentos.io/,Platform
0x362bc847a3a9637d3af6624eec853618a43ed7d2,Parsiq Token ((PRQ)),https://www.parsiq.net/,Platform
0x5d285f735998f36631f678ff41fb56a10a4d0429,MixMarvel Token ((MIX)),https://www.mixmarvel.com/,Platform
0xcc4304a31d09258b0029ea7fe63d032f52e44efe,TrustSwap Token ((SWAP)),https://trustswap.org/,Platform
0xe3a46b2bc1d83c731d58cab765d3b45bce789095,DAYSTARTER ((DST)),https://daystarter.life/,Platform
0x1f7e5118521b550bb1a9b435727c003eb033fc51,Angola Coin ((AGLA)),https://agla.io/,Platform
0x00d8318e44780edeefcf3020a5448f636788883c,dAppstore Token ((DAPPX)),https://dappstore.me/,Platform
0x2270f71bfd8f3396d9b28ecf2eae7f0e6d48caff,RENEC ((RENEC)),https://renec.org/,Platform
0x2ef52ed7de8c5ce03a4ef0efbe9b7450f2d7edc9,Revain ((REV)),https://revain.org/,Platform
0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,Hxro ((HXRO)),https://hxro.com/,Platform
0xaa8330fb2b4d5d07abfe7a72262752a8505c6b37,Polka City ((POLC)),https://www.polkacity.io/,Platform
0xa0f0546eb5e3ee7e8cfc5da12e5949f3ae622675,Tokoin ((TOKO)),https://www.tokoin.io/,Platform
0x6781a0f84c7e9e846dcb84a9a5bd49333067b104,ZAP TOKEN ((ZAP)),https://zap.org/,Platform
0x0ff6ffcfda92c53f615a4a75d982f399c989366b,Unilayer ((LAYER)),https://unilayer.app/,Platform
0x3e2c956b4ab4807b2f942235c9074d9bd069e9f0,IPVERSE ((IPV)),https://ipverse.io/,Platform
0x397deb686c72384fad502a81f4d7fdb89e1f1280,Xels Token ((XELS)),https://www.xels.io/,Platform
0x4dd942baa75810a3c1e876e79d5cd35e09c97a76,Dash 2 Trade ((D2T)),https://dash2trade.com/,Platform
0x7c5b267ed81009aa7374b5ca7e5137da47045ba8,TAIKAI Token ((TKAI)),https://taikai.network/,Platform
0x0db8d8b76bc361bacbb72e2c491e06085a97ab31,iQeon ((IQN)),https://iqeon.io/,Platform
0xdecf7be29f8832e9c2ddf0388c9778b8ba76af43,BonusCloud Token ((BxC)),https://bonuscloud.io/,Platform
0x578b49c45961f98d8df92854b53f1641af0a5036,LinkaToken ((LINKA)),https://www.linka.io,Platform
0x3893b9422cd5d70a81edeffe3d5a1c6a978310bb,Mithril Token ((MITH)),https://mith.io/,Platform
0xd7d9babf56a66daff2ac5dc96f7e886c05124676,Open Meta City ((OMZ)),https://openmeta.city/,Platform
0x0cdf9acd87e940837ff21bb40c9fd55f68bba059,Public Mint ((MINT)),https://publicmint.com/,Platform
0x79cdfa04e3c4eb58c4f49dae78b322e5b0d38788,TrueFeedBack ((TFB)),https://www.truefeedbackchain.com/,Platform
0xb8647e90c0645152fccf4d9abb6b59eb4aa99052,KeyFi Token ((KEYFI)),https://keyfi.com/,Platform
0x3757232b55e60da4a8793183ac030cfce4c3865d,YDragon ((YDR)),https://ydragon.io,Platform
0xc12d099be31567add4e4e4d0d45691c3f58f5663,Auctus ((AUC)),https://auctus.org/,Platform
0x490e3f4af13e1616ec97a8c6600c1061a8d0253e,TERRAN ((TRR)),https://terrancoin.com/,Platform
0x26cb3641aaa43911f1d4cb2ce544eb652aac7c47,CrystalToken ((CYL)),https://www.crystalbot.io/,Platform
0x40adfc7c23c22cc06f94f199a4750d7196f46fbe,Coinchase Token ((CCH)),https://coinchase.com/,Platform
0xf5774f42b28f35429aac35f8eb57541c511fdd49,Arch Crypton Game ((ARCG)),https://archcrypton.com/,Platform
0x305f8157c1f841fbd378f636abf390c5b4c0e330,BitcoinGalaxy Warp ((BTCGW)),https://www.bitcoingalaxy.io/,Platform
0xc05d14442a510de4d3d71a3d316585aa0ce32b50,LINA ((LINA)),https://lina.review/,Platform
0xeaf61fc150cd5c3bea75744e830d916e60ea5a9f,Typerium ((TYPE)),https://typerium.io/,Platform
0x7369d128a7e1a0dad37b7057bb37d700a58b3ff5,Parrot ((PRT)),https://copycrypto.io/,Platform
0x8f7b0b40e27e357540f90f187d90ce06366ac5a5,Value Chain ((VLC)),http://valuechain.biz/,Platform
0xedb7b7842f7986a7f211d791e8f306c4ce82ba32,Polkazeck ((ZCK)),https://polkazeck.io/,Platform
0x306ee01a6ba3b4a8e993fa2c1adc7ea24462000c,NEOPIN Token ((NPT)),https://neopin.io/,Platform
0x9d9832d1beb29cc949d75d61415fd00279f84dc2,DNN ((DNN)),https://dnn.media/,Platform
0xa4cb0dce4849bdcad2d553e9e68644cf40e26cce,BakedToken ((BAKED)),https://www.rebaked.com,Platform
0x75387e1287dd85482ab66102da9f6577e027f609,MindsyncAI ((MAI)),https://mindsync.ai/,Platform
0x1814b8a33446549ed5766ab3250b670498699bd6,Innovia Token ((INVA)),https://innoviatrust.io/,Platform
0xac9ce326e95f51b5005e9fe1dd8085a01f18450c,VeriSafe ((VSF)),https://www.verisafe.io/,Platform
0xa3abac46f5c4f8ee2e7e61b7dea5f0bdf2254163,Want Marketplaces Utility Token ((WNTU)),https://benipal.com/,Platform
0x8606a8f28e1e2fd50b9074d65c01548b1f040b32,Cryptrust ((CTRT)),https://cryptrust.io/platform#home,Platform
0xfdaa9a755a6f8ed390229a477fec7098d14349df,Fanverse Token ((FT)),http://www.fanverse.market/,Platform
0xd3dcb29c196d7e06358845b984efabbc0a118f50,Monte Marketing Platform Coin ((MONTE)),https://monteplatform.org/,Platform
0xf84df2db2c87dd650641f8904af71ebfc3dde0ea,YouLive Coin ((UC)),http://www.youlive.io/,Platform
0x02f61fd266da6e8b102d4121f5ce7b992640cf98,LikeCoin ((LIKE)),https://like.co/,Platform
0x664ee1e24e3c1ce3033579c249118daf6a8bdf1e,BLUBBLER,https://blubbler.app/,Platform
0x96184d9c811ea0624fc30c80233b1d749b9e485b,Dapp Token ((DAPPT)),https://www.dapp.com/,Platform
0x4fe9f52ec23f6805f2fd0332a34da4f1c135b024,Cai Token ((CAI)),https://cai.today/,Platform
0xcbe79ceca09092648995b2ccdf91ca5ecd1edec9,BTCSHORT,https://amun.com/tokens/btcshort/,Platform
0xbee6edf5fa7e862ed2ea9b9f42cb0849184aae85,Blockstate STO Token ((BKN)),https://blockstate.com/,Platform
0xb119ce94d098c18fe380904c24e358bd887f00be,MACH Exchange ((MACH)),https://mymach.io/,Platform
