Contract Address,Token Name,Website,Label
0x8ddc86dba7ad728012efc460b8a168aba60b403b,ETHDaiRebalancingSetToken ((ETHDai)),https://www.tokensets.com/set/ethhivol,Set Protocol
0xb647a1d7633c6c4d434e22ee9756b36f2b219525,ETH 20 MA Crossover Yield II,https://www.tokensets.com/set/ethmacoapy-1,Set Protocol
0xbf70a33a13fbe8d0106df321da0cf654d2e9ab50,ETH/BTC RSI 70/30 Crossover,https://www.tokensets.com/set/ethbtcrsi7030,Set Protocol
0x19f4a2f8e21915376f1429c26a3a9b9b1db5ff5a,Chad Link Set,https://www.tokensets.com/set/chadlink,Set Protocol
0xc06aec5191be16b94ffc97b6fc01393527367365,BTC ETH Equal Weight Set,https://legacy.tokensets.com/set/btceth5050,Set Protocol
0xf43b2f981efc5a611a97951ce4fd7d3bd87f4902,BullBearEthereum Set II ((BBE)),https://legacy.tokensets.com/set/bbe-1,Set Protocol
0x9ea463ec4ce9e9e5bc9cfd0187c4ac3a70dd951d,ETH 20 SMA Crossover Set,https://www.tokensets.com/set/eth20smaco,Set Protocol
0x6123a0cbc95cb157995a0795187a60995b85e0a9,BTCDaiRebalancingSetToken ((BTCDai)),https://www.tokensets.com/set/btchivol,Set Protocol
0x8933ea1ce67b946bdf2436ce860ffbb53ce814d2,LINK/ETH RSI Ratio Trading,https://www.tokensets.com/set/linkethrsi,Set Protocol
0x58723c7afcd33a2db6ae06c37521725d65f0cc15,BullBearBitcoin Set II ((BBB)),https://legacy.tokensets.com/set/bbb-2,Set Protocol
0xa35fc5019c4dc509394bd4d74591a0bf8852c195,BitEth7525RebalancingSetToken,https://legacy.tokensets.com/set/btceth7525,Set Protocol
0xa360f2af3f957906468c0fd7526391aed08ae3db,ETH 50 SMA Crossover Set,https://legacy.tokensets.com/set/eth50smaco,Set Protocol
0x0329d23fc7b1b1e6cca57afa3f0090f1189069e8,LINK RSI Crossover Set,https://www.tokensets.com/set/linkrsico,Set Protocol
0x15822a64c8cb27d7828c45e0aafc3e6c5decd172,Fear &amp; Greed Sentiment Set II ((GREED2)),https://legacy.tokensets.com/set/greed2,Set Protocol
0xa6c040045d962e4b8efa00954c7d23ccd0a2b8ad,BitEth2575RebalancingSetToken,https://legacy.tokensets.com/set/ethbtc7525,Set Protocol
0x2c5a9980b41861d91d30d0e0271d1c093452dca5,ETH 12 EMA Crossover Set,https://www.tokensets.com/set/eth12emaco,Set Protocol
0x9f49ed43c90a540d1cf12f6170ace8d0b88a14e6,ETH RSI 60/40 Yield II,https://legacy.tokensets.com/set/ethrsiapy-1,Set Protocol
0x89c0b027bd7cc2d17854b06f8322e29451192ce3,Intelligent ETH Set ((INTETH)),https://legacy.tokensets.com/set/inteth-1,Set Protocol
0xf1e5f03086e1c0ce55e54cd8146bc9c28435346f,ETH Min Volatility Set,https://www.tokensets.com/set/ethminvol,Set Protocol
0x614857c755739354d68ae0abd53849cf45d6a41d,ETH 26 EMA Crossover Set,https://www.tokensets.com/set/eth26emaco,Set Protocol
0x54e8371c1ec43e58fb53d4ef4ed463c17ba8a6be,ETH 26 EMA Crossover Yield II,https://www.tokensets.com/set/ethemaapy-1,Set Protocol
0x8abf3a95862619a55fa00cb3e4eedbe113ff468c,Money Printer Go Brrr ((BRRR)),https://legacy.tokensets.com/set/brrr,Set Protocol
0x81c55017f7ce6e72451ced49ff7bab1e3df64d0c,BTC Min Volatility Set,https://www.tokensets.com/set/btcminvol,Set Protocol
0x5cd487ce4db7091292f2e914f7b31445bd4a5e1b,Inverse ETH 20 SMA Crossover,https://www.tokensets.com/set/ieth20smaco,Set Protocol
0x7e4d1cd8927ce41bcbfa4f32cada1a6998cb5a51,ETH AI Limit Loss ((ELL)),https://www.tokensets.com/set/ell-1,Set Protocol
0x856c4388c56c2a613c60507a4701af627157fed6,ETH Trending Alpha ST Set ((ETAS)),https://legacy.tokensets.com/set/etas-1,Set Protocol
0x585c2cf94c41b528ec7329cbc3cde3c4f8d268db,STETHDaiRebalancingSetToken,https://www.tokensets.com/set/ethlovol,Set Protocol
