Contract Address,Token Name,Website,Label
0x0763fdccf1ae541a5961815c0872a8c5bc6de4d7,SUKU ((SUKU)),https://www.suku.world/,Supply Chain
0xf8ad7dfe656188a23e89da09506adf7ad9290d5d,Blocery Token ((BLY)),https://www.blocery.io/,Supply Chain
0xf0c5831ec3da15f3696b4dad8b21c7ce2f007f28,AXIS Token ((AXIS)),https://axistoken.io/,Supply Chain
0xc05d14442a510de4d3d71a3d316585aa0ce32b50,LINA ((LINA)),https://lina.review/,Supply Chain
0x5b7093fe2491dfb058c94bcd62a1cd4d822f884c,Authoreon ((AUN)),https://www.authoreon.io/,Supply Chain
0xd50c8a17d5c4b8e2d984933c7e37e5b92d687b8d,Wagon ((WAG)),https://wagon.network/,Supply Chain
0xf18432ef894ef4b2a5726f933718f5a8cf9ff831,BioCrypt ((BIO)),https://biocrypt.tech/,Supply Chain
0x5dced3c2fab61e21b25177c6050d3f166f696110,Tea Token ((TEA)),https://www.teachain.com/,Supply Chain
0x6710c63432a2de02954fc0f851db07146a6c0312,Smart MFG ((MFG)),https://smartmfg.io,Supply Chain
0xe25b0bba01dc5630312b6a21927e578061a13f55,ShipChain SHIP ((SHIP)),https://shipchain.io/,Supply Chain
0x79c5a1ae586322a07bfb60be36e1b31ce8c84a1e,Freight Trust Network ((EDI)),https://freighttrust.com/,Supply Chain
0x7b0c06043468469967dba22d1af33d77d44056c8,Morpheus.Network ((MRPH)),https://morpheus.network,Supply Chain
0x0926db9ea498cb68d8b0e571e52f588a57f0e051,ARP Tier 1 ((ARP)),https://permet.co/,Supply Chain
0x8c39afdf7b17f12c553208555e51ab86e69c35aa,Fr8 Network ((FR8)),https://fr8.network/,Supply Chain
0x2e91e3e54c5788e9fdd6a181497fdcea1de1bcc1,Hercules ((HERC)),https://herc.one/,Supply Chain
0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,Modum Token ((MOD)),https://modum.io/,Supply Chain
0x47e820df943170b0e31f9e18ecd5bdd67b77ff1f,PIGX ((PIGX)),pigxtoken@163.com,Supply Chain
0xb76a2498d94f0dc85f8c746c7943b9639c0f0e12,Hibiscus Designer Split Research Contract V0 ((FWBS5)),https://permet.co/,Supply Chain
0x58c69ed6cd6887c0225d1fccecc055127843c69b,HalalChain ((HLC)),https://www.qitmeer.io/,Supply Chain
