Contract Address,Token Name,Website,Label
0xb26ff591f44b04e78de18f43b46f8b70c6676984,DefaultCollateral_Coinbase Wrapped Staked ETH,https://symbiotic.fi/,Symbiotic
0x422f5accc812c396600010f224b320a743695f85,DefaultCollateral_Wrapped Binance Beacon ETH,https://symbiotic.fi/,Symbiotic
0xbdea8e677f9f7c294a4556005c640ee505be6925,DefaultCollateral_ETHx,https://symbiotic.fi/,Symbiotic
0x475d3eb031d250070b63fa145f0fcfc5d97c304a,DefaultCollateral_mETH,https://symbiotic.fi/,Symbiotic
0x5198cb44d7b2e993ebdda9cad3b9a0eaa32769d2,DefaultCollateral_Staked Frax Ether,https://symbiotic.fi/,Symbiotic
0xc329400492c6ff2438472d4651ad17389fcb843a,DefaultCollateral_Wrapped liquid staked Ether 2.0,https://symbiotic.fi/,Symbiotic
0x52cb8a621610cc3ccf498a1981a8ae7ad6b8ab2a,DefaultCollateral_Staked ETH,https://symbiotic.fi/,Symbiotic
0xe39b5f5638a209c1a6b6cdffe5d37f7ac99fcc84,DefaultCollateral_ENA ((DC_ENA)),https://symbiotic.fi/,Symbiotic
0x03bf48b8a1b37fbead1ecabcf15b98b924ffa5ac,DefaultCollateral_Rocket Pool ETH,https://symbiotic.fi/,Symbiotic
0x940750a267c64f3bbce31b948b67cd168f0843fa,DefaultCollateral_Frax Share ((DC_FXS)),https://symbiotic.fi/,Symbiotic
0x0c969cec0729487d264716e55f232b404299032c,DefaultCollateral_tBTC v2,https://symbiotic.fi/,Symbiotic
0x971e5b5d4baa5607863f3748febf287c7bf82618,DefaultCollateral_Wrapped BTC,https://symbiotic.fi/,Symbiotic
0x19d0d8e6294b7a04a2733fe433444704b791939a,DefaultCollateral_Staked USDe,https://app.symbiotic.fi/restake/susde,Symbiotic
0x9c0823d3a1172f9ddf672d438dec79c39a64f448,DefaultCollateral_Lombard Staked Bitcoin,https://symbiotic.fi/,Symbiotic
0x21dbba985eea6ba7f27534a72ccb292eba1d2c7c,DefaultCollateral_ether.fi governance token,https://symbiotic.fi/,Symbiotic
0xb09a50acfff7d12b7d18adef3d1027bc149bad1c,DefaultCollateral_Liquid Staked ETH,https://symbiotic.fi/,Symbiotic
0x38b86004842d3fa4596f0b7a0b53de90745ab654,DefaultCollateral_swETH,https://symbiotic.fi/,Symbiotic
