Contract Address,Token Name,Website,Label
0xa849eaae994fb86afa73382e9bd88c2b6b18dc71,Mass Vehicle Ledger Token ((MVL)),https://mvlchain.io/,Vehicle
0x38c87aa89b2b8cd9b95b736e1fa7b612ea972169,AMO Coin ((AMO)),https://amo.foundation/,Vehicle
0x884ddbb5dc6c2cef77d3e74c6ccca315797d655b,Carnomaly ((CARR)),https://carnomaly.io/,Vehicle
0x50bc2ecc0bfdf5666640048038c1aba7b7525683,cVToken ((cV)),https://www.carvertical.com/,Vehicle
0x2c022e58c5e3ee213f06f975fd8a0d3a6fe9ca1c,Formula Inu ((FINU)),https://finucrypto.com/,Vehicle
0x8e1439bbeab0df0f29c27e360b2a36b259b7e286,Vehicle Owner’s Benefit ((VOB)),https://glvo.io/,Vehicle
0x4457dc5a9e71b975a8e0f855bbe795f5cbdcc10f,VAIP COIN ((VAIP)),http://www.vaip.foundation/,Vehicle
0xbc6669e7914a2b327ae428184086d8ac88d74efc,Car Coin ((CCM)),https://carcoinmarket.io/,Vehicle
0x02bc86b1f8fedf25e2b98cc8278ca8cde58cbad7,DRIFE ((DRF)),http://www.drife.one/,Vehicle
0xbe59434473c50021b30686b6d34cdd0b1b4f6198,Mobilio ((MOB)),http://www.mobilio.cc/,Vehicle
0x08b4c866ae9d1be56a06e0c302054b4ffe067b43,BitCar ((BITCAR)),https://bitcar.io/,Vehicle
0x5311cf987ad2b8087d7d83efc379d6f916cb9999,Wrapped MOBIX ((wMOBX)),https://mobix.ai/,Vehicle
0xc4a86561cb0b7ea1214904f26e6d50fd357c7986,Charg Coin ((CHG)),https://chgcoin.org/,Vehicle
0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,CarLive Chain ((IOV)),http://www.carlive.io/pc/en/index.html,Vehicle
0x6a3ad0cd86e6baee7066b6db9b043f7581a5d5ba,Payoto ((PYT)),https://welcome.payoto.com/,Vehicle
0xf3e014fe81267870624132ef3a646b8e83853a96,VIN ((VIN)),https://vinchain.io/,Vehicle
0x13a0599c493cc502ed8c4dd26f22f5cedc248fc4,Export Motors Platform ((EMP)),http://emptrade.io/,Vehicle
0x749f35ff65932e68267dd82f6cd85eea735d700e,CyClean Token ((CCL)),https://cyclean.io/,Vehicle
0x1fb6bccc7da51aa32e96118b8a33226d2ae16517,Global Rental Token ((GRT)),https://globalrentaltoken.com/,Vehicle
0x7a939bb714fd2a48ebeb1e495aa9aaa74ba9fa68,EVZ ((EVZ)),http://www.evzlife.com/,Vehicle
