Contract Address,Token Name,Website,Label
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,yearn.finance ((YFI)),https://yearn.fi/,Yearn
0xd6ad7a6750a7593e092a9b218d66c0a814a3436e,iearn USDC ((yUSDC)),https://yearn.fi/,Yearn
0xba2e7fed597fd0e3e70f5130bcdbbfe06bb94fe1,yearn yearn.finance ((yYFI)),http://yearn.fi/,Yearn
0x83f798e925bcd4017eb265844fddabb448f1707d,iearn USDT ((yUSDT)),https://yearn.fi,Yearn
0xf61718057901f84c4eec4339ef8f0d86d2b45600,iearn SUSD ((ySUSD)),https://yearn.fi,Yearn
0x04bc0ab673d88ae9dbc9da2380cb6b79c4bca9ae,iearn BUSD ((yBUSD)),https://yearn.fi/,Yearn
0x597ad1e0c13bfe8025993d9e79c69e1c0233522e,yearn USD//C ((yUSDC)),https://yearn.fi/,Yearn
0x16de59092dae5ccf4a1e6439d611fd0653f0bd01,iearn DAI ((yDAI)),https://yearn.fi/,Yearn
0x5dbcf33d8c2e976c6b560249878e6f1491bca25c,yearn Curve.fi yDAI/yUSDC/yUSDT/yTUSD,https://yearn.fi/,Yearn
0x73a052500105205d34daf004eab301916da8190f,iearn TUSD ((yTUSD)),https://yearn.fi,Yearn
0x29e240cfd7946ba20895a7a02edb25c210f9f324,yearn Aave Interest bearing LINK ((yaLINK)),https://yearn.fi/,Yearn
0xc5bddf9843308380375a611c18b50fb9341f502a,veCRV-DAO yVault,https://yearn.fi/,Yearn
0x96e61422b6a9ba0e068b6c5add4ffabc6a4aae27,Iron Bank EUR ((ibEUR)),https://yearn.fi/lend,Yearn
0x7047f90229a057c13bf847c0744d646cfb6c9e1a,Curve renBTC Pool yVault,https://yearn.fi/,Yearn
0x8fa3a9ecd9efb07a8ce90a6eb014cf3c0e3b32ef,Curve BBTC Pool yVault,https://yearn.fi/,Yearn
0x5b8c556b8b2a78696f0b9b830b3d67623122e270,Curve stETH Factory yVault,https://docs.yearn.fi/,Yearn
0xbacb69571323575c6a5a3b4f9eede1dc7d31fbc1,yearn Curve.fi aDAI/aSUSD,https://yearn.fi/,Yearn
0xa8e0c42f45c877e611c76f2d4bf57476f2014381,Curve Iron Bank Factory yVault,https://yearn.fi/,Yearn
0x90c1f9220d90d3966fbee24045edd73e1d588ad5,Voting YFI ((veYFI)),,Yearn
0x6b5ce31af687a671a804d8070ddda99cab926dfe,Curve ibGBP-USDC Pool yVault,https://yearn.fi/,Yearn
0xb09f2a67a731466182518fae980feae96479d80b,KP3RETH-f yVault,https://yearn.fi/,Yearn
0x5334e150b938dd2b6bd040d9c4a03cff0ced3765,yearn Curve.fi renBTC/wBTC,https://yearn.fi/,Yearn
0x81d93531720d86f0491dee7d03f30b3b5ac24e59,yGauge Curve yETH Factory yVault,https://yearn.fi/,Yearn
0x128e72dfd8b00cbf9d12cb75e846ac87b83ddfc9,yGauge DAI-1 yVault,https://yearn.fi/,Yearn
0x881b06da56bb5675c54e4ed311c21e54c5025298,yearn ChainLink Token ((yLINK)),https://docs.yearn.fi/,Yearn
